ORF,Gene,Plate,Row,Column,wellId
YKR086W,PRP16,1,6,9,r06c09
YGR162W,TIF4631,1,6,10,r06c10
YER033C,ZRG8,1,6,11,r06c11
YMR205C,PFK2,1,6,12,r06c12
YPR115W,RGC1,1,6,13,r06c13
YMR125W,STO1,1,6,14,r06c14
YJR091C,JSN1,1,6,15,r06c15
YAR019C,CDC15,1,6,16,r06c16
YPL022W,RAD1,1,6,17,r06c17
YGR240C,PFK1,1,6,18,r06c18
YNL163C,RIA1,1,6,19,r06c19
YAL035W,FUN12,1,6,20,r06c20
YJR109C,CPA2,1,6,21,r06c21
YOR349W,CIN1,1,6,22,r06c22
YBR245C,ISW1,1,6,23,r06c23
YKL210W,UBA1,1,6,24,r06c24
YMR176W,ECM5,1,7,1,r07c01
YER013W,PRP22,1,7,2,r07c02
YDR464W,SPP41,1,7,3,r07c03
YHR158C,KEL1,1,7,4,r07c04
YOR116C,RPO31,1,7,5,r07c05
YGR233C,PHO81,1,7,6,r07c06
YDR180W,SCC2,1,7,7,r07c07
YKR096W,0,1,7,8,r07c08
YOL004W,SIN3,1,7,9,r07c09
YGL140C,0,1,7,10,r07c10
YNL242W,ATG2,1,7,11,r07c11
YHR155W,YSP1,1,7,12,r07c12
YMR219W,ESC1,1,7,13,r07c13
YDR097C,MSH6,1,7,14,r07c14
YDL140C,RPO21,1,7,15,r07c15
YKL129C,MYO3,1,7,16,r07c16
YHL030W,ECM29,1,7,17,r07c17
YDL019C,OSH2,1,7,18,r07c18
YJL207C,LAA1,1,7,19,r07c19
YJR092W,BUD4,1,7,20,r07c20
YJL130C,URA2,1,7,21,r07c21
YAL017W,PSK1,1,7,22,r07c22
YGL195W,GCN1,1,7,23,r07c23
YGR270W,YTA7,1,7,24,r07c24
YMR189W,GCV2,1,8,1,r08c01
YML111W,BUL2,1,8,2,r08c02
YEL061C,CIN8,1,8,3,r08c03
YDR069C,DOA4,1,8,4,r08c04
YJR132W,NMD5,1,8,5,r08c05
YML109W,ZDS2,1,8,6,r08c06
YDR310C,SUM1,1,8,7,r08c07
YLL003W,SFI1,1,8,8,r08c08
YIL156W,UBP7,1,8,9,r08c09
YNL127W,FAR11,1,8,10,r08c10
YOL145C,CTR9,1,8,11,r08c11
YHR120W,MSH1,1,8,12,r08c12
YIL112W,HOS4,1,8,13,r08c13
YMR287C,DSS1,1,8,14,r08c14
YDL215C,GDH2,1,8,15,r08c15
YBR084W,MIS1,1,8,16,r08c16
